{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.4369, 0.5777, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.4369, 0.5777, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.4369, 0.5777, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.4369, 0.7185, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.4369, 0.7185, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.4369, 0.7185, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.4369, 0.8592, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.4369, 0.8592, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.4369, 0.8592, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.6213, 0.716, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.6213, 0.716, 0.25]
